# Residuals        
# Time             	p                  	Ux                 	Uy                 	Uz                 	k                  	epsilon            
44                 	5.066810790830e-02	1.582336135800e-03	6.918118917220e-03	5.530367909260e-03	6.180076497430e-03	9.480309098390e-04
45                 	4.752876230490e-02	1.509540469630e-03	6.613259366790e-03	6.562494978320e-03	6.200308780120e-03	9.264100275260e-04
46                 	4.336359981830e-02	1.432733364080e-03	6.346812842410e-03	6.803551601140e-03	6.219131357790e-03	9.081073650730e-04
47                 	4.050846737660e-02	1.394395743360e-03	6.226703941500e-03	6.306406812470e-03	6.239751579900e-03	8.913617500330e-04
48                 	4.063350923770e-02	1.408990376040e-03	6.035848905870e-03	5.435048044050e-03	6.265550495440e-03	8.753056286010e-04
49                 	3.986632980280e-02	1.441638561170e-03	5.873500660030e-03	4.692155682000e-03	6.294513438680e-03	8.600332318870e-04
50                 	3.877166450370e-02	1.443968631510e-03	5.788298446030e-03	4.733599067960e-03	6.322525619710e-03	8.457014916350e-04
51                 	3.729764128960e-02	1.409313201970e-03	5.631090612560e-03	5.194649304140e-03	6.344852749870e-03	8.320359232030e-04
52                 	3.568547413150e-02	1.365586964780e-03	5.425729233070e-03	5.514510087290e-03	6.360189191470e-03	8.187068129280e-04
53                 	3.425687451790e-02	1.330289097140e-03	5.285625496940e-03	5.400957855820e-03	6.368376567730e-03	8.053264256630e-04
54                 	3.389806366190e-02	1.315090338780e-03	5.181778053820e-03	4.989184407870e-03	6.369940180480e-03	7.924064610590e-04
55                 	3.307754429080e-02	1.324533641630e-03	5.111367878100e-03	4.575238422460e-03	6.367239404510e-03	7.799816388410e-04
56                 	3.253061046870e-02	1.323207980470e-03	5.033697543890e-03	4.442555797670e-03	6.358661785120e-03	7.684053327960e-04
57                 	3.226777622000e-02	1.297387964910e-03	4.908465228500e-03	4.502242120260e-03	6.342856981470e-03	7.581621064110e-04
58                 	3.132440562840e-02	1.270470538900e-03	4.788034695180e-03	4.777469019620e-03	6.321300385320e-03	7.476444138210e-04
59                 	3.050260223210e-02	1.246601302470e-03	4.666315149860e-03	4.881216086640e-03	6.295114185440e-03	7.371523050210e-04
60                 	3.019063766160e-02	1.224745407800e-03	4.555554554280e-03	4.702847328410e-03	6.264234885630e-03	7.274152274030e-04
61                 	2.928960899920e-02	1.217105122100e-03	4.486644516890e-03	4.481323538070e-03	6.230784851480e-03	7.175807830620e-04
62                 	2.853098232740e-02	1.206168721210e-03	4.422206835290e-03	4.331493157880e-03	6.194199163200e-03	7.074160309980e-04
63                 	2.820037038920e-02	1.182818117780e-03	4.331218983000e-03	4.273785499920e-03	6.154457947990e-03	6.975160295290e-04
64                 	2.754075007500e-02	1.164380341700e-03	4.255101494810e-03	4.384255757760e-03	6.112685982010e-03	6.864399598630e-04
65                 	2.681594120050e-02	1.144685232910e-03	4.169148676120e-03	4.470677744520e-03	6.068872869260e-03	6.740590122940e-04
66                 	2.640332012530e-02	1.121179586380e-03	4.070898819750e-03	4.401770799180e-03	6.023533670260e-03	6.611906077840e-04
67                 	2.528776752570e-02	1.107726364480e-03	4.000945497540e-03	4.339458804270e-03	5.978428645840e-03	6.471340384370e-04
68                 	2.421512157430e-02	1.093238913580e-03	3.938457119740e-03	4.259941310370e-03	5.933140806480e-03	6.319762565580e-04
69                 	2.361843481550e-02	1.071320786710e-03	3.864749557020e-03	4.168052115160e-03	5.888128255260e-03	6.166380843850e-04
70                 	2.271479419040e-02	1.054450351450e-03	3.808216407930e-03	4.170289533790e-03	5.844227521660e-03	6.004214103170e-04
71                 	2.185527736000e-02	1.036412012310e-03	3.745650886280e-03	4.187775939810e-03	5.800855254840e-03	5.835508167250e-04
72                 	2.140206441070e-02	1.014181475150e-03	3.668517059330e-03	4.136873475550e-03	5.757966388160e-03	5.667686166640e-04
73                 	2.050747225790e-02	9.990969594060e-04	3.606035920770e-03	4.133080778440e-03	5.716567707220e-03	5.495183268520e-04
74                 	1.961272697440e-02	9.834351943980e-04	3.547667678490e-03	4.101021351950e-03	5.675284481270e-03	5.319358574420e-04
75                 	1.908422435460e-02	9.627254131510e-04	3.484720035290e-03	4.013368955800e-03	5.633528406660e-03	5.146453447560e-04
76                 	1.827025765280e-02	9.464738553210e-04	3.432296726510e-03	3.980656864580e-03	5.591832432060e-03	4.971331140090e-04
77                 	1.749992892730e-02	9.292757469830e-04	3.378278192610e-03	3.954683319430e-03	5.549445505970e-03	4.795029408690e-04
78                 	1.705370137870e-02	9.082117542750e-04	3.316876810250e-03	3.888003760290e-03	5.506358842390e-03	4.623313544540e-04
79                 	1.633443446480e-02	8.929550086060e-04	3.263880159310e-03	3.877792361930e-03	5.463356707230e-03	4.451346553840e-04
80                 	1.561997181280e-02	8.771700630260e-04	3.213264686360e-03	3.851836378790e-03	5.419746566520e-03	4.281925377820e-04
81                 	1.497651014590e-02	8.597774783920e-04	3.162660184220e-03	3.798923935700e-03	5.375120087930e-03	4.113490478680e-04
82                 	1.458761795290e-02	8.388774447060e-04	3.109619442190e-03	3.705118111560e-03	5.330121128160e-03	3.950359399420e-04
83                 	1.399692827550e-02	8.239733770210e-04	3.062125460570e-03	3.668207458910e-03	5.285802739560e-03	3.789142218160e-04
84                 	1.337768311260e-02	8.089039404450e-04	3.015542509530e-03	3.639340452770e-03	5.241453159820e-03	3.632328320860e-04
85                 	1.281971133130e-02	7.922879877560e-04	2.965994603520e-03	3.598732602480e-03	5.196481257940e-03	3.479536659450e-04
86                 	1.232915936260e-02	7.747055377550e-04	2.915344237040e-03	3.540713298140e-03	5.150943168930e-03	3.329628710290e-04
87                 	1.207820912180e-02	7.552339204350e-04	2.866776609890e-03	3.448843196090e-03	5.105032079980e-03	3.185959134220e-04
88                 	1.164031273270e-02	7.416686687690e-04	2.822266296620e-03	3.413309000030e-03	5.059384015810e-03	3.046581234650e-04
89                 	1.117693124120e-02	7.277814895060e-04	2.778950213370e-03	3.378948820950e-03	5.013739556100e-03	2.912445156940e-04
90                 	1.075407990940e-02	7.119909058750e-04	2.731329076070e-03	3.327184845630e-03	4.968031663210e-03	2.783118509600e-04
91                 	1.039481735230e-02	6.950005746610e-04	2.680043883860e-03	3.258646202260e-03	4.922255779210e-03	2.658814265000e-04
92                 	1.008957019940e-02	6.785073253870e-04	2.629045941290e-03	3.187319424360e-03	4.876703486370e-03	2.539704071910e-04
93                 	9.809769451310e-03	6.634014646010e-04	2.580511197780e-03	3.125336755780e-03	4.831422712700e-03	2.425981644070e-04
94                 	9.529602411960e-03	6.492887530970e-04	2.533105204050e-03	3.073798735970e-03	4.786203305760e-03	2.317976176820e-04
95                 	9.244877243650e-03	6.352602349700e-04	2.483988339020e-03	3.024857256650e-03	4.740599395650e-03	2.215633122480e-04
96                 	8.970880780300e-03	6.208115401710e-04	2.432486645040e-03	2.970865480100e-03	4.693941508380e-03	2.118218385410e-04
97                 	8.711046894730e-03	6.061468951650e-04	2.379270986450e-03	2.910503121860e-03	4.646002561640e-03	2.025170406560e-04
98                 	8.461613307680e-03	5.917658223460e-04	2.326381855140e-03	2.847780368470e-03	4.596837125560e-03	1.936406867080e-04
99                 	8.219137229470e-03	5.779531438560e-04	2.275007291350e-03	2.787550844300e-03	4.546505420060e-03	1.851432563340e-04
100                	7.974511260540e-03	5.645984084100e-04	2.224482266830e-03	2.731142515630e-03	4.495169174300e-03	1.769911424460e-04
101                	7.731345426810e-03	5.514512387950e-04	2.174117081610e-03	2.676667612280e-03	4.443301615790e-03	1.691959278490e-04
102                	7.498290038900e-03	5.383538732400e-04	2.123679499410e-03	2.621501830830e-03	4.390842896180e-03	1.617709871610e-04
103                	7.264876050290e-03	5.253508839360e-04	2.073835081020e-03	2.564600502780e-03	4.337902275090e-03	1.547087491560e-04
104                	7.037773149860e-03	5.125939870630e-04	2.024925304890e-03	2.506651566860e-03	4.284592764480e-03	1.480013841200e-04
105                	6.818173834610e-03	5.001631347740e-04	1.977310211790e-03	2.449374838020e-03	4.230995106360e-03	1.416681495750e-04
106                	6.600808783230e-03	4.880293219980e-04	1.931556819320e-03	2.393934061460e-03	4.177237698700e-03	1.357017201690e-04
107                	6.384199251500e-03	4.761229674850e-04	1.887268587490e-03	2.340232847140e-03	4.123519883610e-03	1.300934355180e-04
108                	6.168609509020e-03	4.643889101530e-04	1.844194495270e-03	2.287571754320e-03	4.069903957590e-03	1.248533995690e-04
109                	5.959192422370e-03	4.528408787730e-04	1.802521870130e-03	2.235415020230e-03	4.016504383330e-03	1.199551025470e-04
110                	5.759755381880e-03	4.415241038010e-04	1.762218964460e-03	2.183733684360e-03	3.963385983980e-03	1.153746467030e-04
111                	5.572511039780e-03	4.304494944610e-04	1.723575585880e-03	2.132903194500e-03	3.910500687500e-03	1.110534815710e-04
112                	5.397986492810e-03	4.196097697900e-04	1.686358922560e-03	2.083420729560e-03	3.857849400090e-03	1.069527910140e-04
113                	5.231672751220e-03	4.089815410160e-04	1.650735886400e-03	2.035331310460e-03	3.805342588650e-03	1.030636588430e-04
114                	5.064927654020e-03	3.985368378010e-04	1.616443565690e-03	1.988446946410e-03	3.753160294750e-03	9.937450834730e-05
115                	4.895715223580e-03	3.882851835350e-04	1.583445363060e-03	1.942301923280e-03	3.701410895840e-03	9.587036478390e-05
116                	4.729838082790e-03	3.782320202980e-04	1.551363390860e-03	1.896640372320e-03	3.650038576630e-03	9.254377070130e-05
117                	4.578512306330e-03	3.683892559970e-04	1.520485651750e-03	1.851355296640e-03	3.599176216050e-03	8.937587549070e-05
118                	4.432112407970e-03	3.587589678240e-04	1.490685452290e-03	1.806686072110e-03	3.548759880810e-03	8.636131333680e-05
119                	4.291848470930e-03	3.493130962270e-04	1.461636597850e-03	1.762675570560e-03	3.498816011130e-03	8.350197761830e-05
120                	4.152804952840e-03	3.400542592650e-04	1.433567612760e-03	1.719274233580e-03	3.449216665620e-03	8.078553179410e-05
121                	4.018204286080e-03	3.309766629380e-04	1.406497458720e-03	1.676517917810e-03	3.400112183910e-03	7.820374377420e-05
122                	3.891559368460e-03	3.220815667710e-04	1.380384607060e-03	1.634247786280e-03	3.351624089980e-03	7.574251539070e-05
123                	3.770595193550e-03	3.133804521070e-04	1.355071219850e-03	1.592474564080e-03	3.303621740440e-03	7.339899813280e-05
124                	3.651119584860e-03	3.048553300590e-04	1.330673625740e-03	1.551284900480e-03	3.256201025330e-03	7.115169861710e-05
125                	3.534932981740e-03	2.965051801130e-04	1.306992673480e-03	1.510810239550e-03	3.209275253550e-03	6.899208821070e-05
126                	3.421646396800e-03	2.883331573760e-04	1.283929040520e-03	1.471137578710e-03	3.162653631550e-03	6.691221748720e-05
127                	3.311673233550e-03	2.803270309420e-04	1.261496512650e-03	1.432305758400e-03	3.116569856950e-03	6.490968866940e-05
128                	3.204849391140e-03	2.724775702980e-04	1.239416594770e-03	1.394340221660e-03	3.070965415490e-03	6.298659745220e-05
129                	3.098014100270e-03	2.647909088390e-04	1.217689798110e-03	1.357231070250e-03	3.025709350030e-03	6.112992025050e-05
130                	2.990058172410e-03	2.572572365720e-04	1.196464765310e-03	1.321083017980e-03	2.980648597320e-03	5.933939748750e-05
131                	2.881960470820e-03	2.498839401330e-04	1.175829450500e-03	1.285856724890e-03	2.935894380010e-03	5.760911253470e-05
132                	2.777250938720e-03	2.426587766280e-04	1.155734409100e-03	1.251583987270e-03	2.891198017750e-03	5.595471050420e-05
133                	2.674146210370e-03	2.356009129910e-04	1.136096608240e-03	1.218244970480e-03	2.846625263010e-03	5.436005154040e-05
134                	2.574356512340e-03	2.286832914470e-04	1.116674165950e-03	1.185858918000e-03	2.802083638700e-03	5.282207813850e-05
135                	2.479071475200e-03	2.219126423690e-04	1.097049308680e-03	1.154411565360e-03	2.757592001120e-03	5.132861063190e-05
