"nut","k","p","epsilon","U:0","U:1","U:2","vtkValidPointMask","Points:0","Points:1","Points:2"
3.06075e+01,2.47959e+00,-3.36380e+01,2.16428e-02,1.67913e+01,2.08938e-01,9.00197e-01,1,5.81732e+05,4.78564e+06,1.11816e+03
3.09360e+01,2.51876e+00,-3.24821e+01,2.22255e-02,1.67677e+01,2.68609e-01,1.04223e+00,1,5.81717e+05,4.78566e+06,1.11785e+03
3.05678e+01,2.50809e+00,-3.20651e+01,2.23458e-02,1.67357e+01,2.35497e-01,1.08039e+00,1,5.81717e+05,4.78565e+06,1.11735e+03
3.23581e+01,2.50487e+00,-3.59020e+01,2.05709e-02,1.69226e+01,2.90571e-01,5.94314e-01,1,5.81743e+05,4.78566e+06,1.12102e+03
3.28081e+01,2.49860e+00,-3.51778e+01,2.00075e-02,1.68943e+01,2.69742e-01,6.50095e-01,1,5.81741e+05,4.78565e+06,1.12165e+03
3.23719e+01,2.49828e+00,-3.43581e+01,2.04178e-02,1.68530e+01,2.56374e-01,7.54483e-01,1,5.81736e+05,4.78565e+06,1.12082e+03
3.20294e+01,2.50206e+00,-3.41594e+01,2.08199e-02,1.68425e+01,2.59815e-01,7.96434e-01,1,5.81733e+05,4.78565e+06,1.12010e+03
3.19356e+01,2.51297e+00,-3.47113e+01,2.11356e-02,1.68723e+01,2.88066e-01,7.61883e-01,1,5.81732e+05,4.78566e+06,1.11960e+03
3.23643e+01,2.50990e+00,-3.58251e+01,2.06535e-02,1.69238e+01,2.97152e-01,6.24271e-01,1,5.81740e+05,4.78566e+06,1.12038e+03
2.81674e+01,2.60818e+00,-2.28375e+01,2.43878e-02,1.62219e+01,2.21617e-01,1.96196e+00,1,5.81655e+05,4.78569e+06,1.09930e+03
2.70321e+01,2.59371e+00,-2.25068e+01,2.49993e-02,1.61921e+01,1.77154e-01,1.99556e+00,1,5.81655e+05,4.78568e+06,1.09873e+03
2.57700e+01,2.58715e+00,-2.16712e+01,2.61727e-02,1.61242e+01,1.39262e-01,2.09501e+00,1,5.81652e+05,4.78568e+06,1.09679e+03
2.61288e+01,2.57618e+00,-1.97988e+01,2.81813e-02,1.59513e+01,8.54505e-02,2.23832e+00,1,5.81644e+05,4.78568e+06,1.09495e+03
2.74681e+01,2.60111e+00,-2.00060e+01,2.58729e-02,1.60125e+01,1.46510e-01,2.19410e+00,1,5.81644e+05,4.78569e+06,1.09572e+03
3.04231e+01,2.53573e+00,-3.20540e+01,2.30316e-02,1.67457e+01,2.88190e-01,1.14633e+00,1,5.81709e+05,4.78567e+06,1.11607e+03
3.01647e+01,2.53756e+00,-3.05305e+01,2.32297e-02,1.66640e+01,2.60291e-01,1.27652e+00,1,5.81701e+05,4.78567e+06,1.11449e+03
3.10409e+01,2.53153e+00,-3.30286e+01,2.23695e-02,1.67923e+01,2.91531e-01,1.00688e+00,1,5.81717e+05,4.78567e+06,1.11721e+03
2.53154e+01,2.49455e+00,-3.42316e+01,2.36653e-02,1.62589e+01,-3.54375e-01,-1.33670e+00,1,5.81879e+05,4.78589e+06,1.09823e+03
2.64052e+01,2.49971e+00,-3.46622e+01,2.33891e-02,1.63093e+01,-3.29151e-01,-1.30347e+00,1,5.81876e+05,4.78588e+06,1.10015e+03
2.79052e+01,2.49512e+00,-3.53036e+01,2.27033e-02,1.63809e+01,-2.84451e-01,-1.22482e+00,1,5.81870e+05,4.78588e+06,1.10145e+03
